id;Price;Seats;Doors;Mileage;Explotation_period;Engine_volume;Width;Diameter_cylinder_and_stroke_piston;Maximum_power;Length;Wheelbase;Height;Torque;Valves_per_cylinder;Volume_fuel_tank;Rear_track_width;Front_track_width;Curb_weight_kg;Clearance;Maximum_speed;Transmissions;Speed_to_100;Full_weight;Compression_ratio;Consumption;Restyling;Years_from_release_start_series;Trunk_volume_max;Expense_city;Box_mechanics;Box_robot;Box_variator;Color_black;Color_blue;Color_brown;Color_gold;Color_gray;Color_green;Color_light Blue;Color_magenta;Color_orange;Color_purple;Color_red;Color_silver;Color_white;Color_yellow;Car_type_Liftback;Car_type_SUV;Car_type_Sedan;Car_type_Station Wagon;Car_type_Van;Model_2103 ;Model_2104 ;Model_2105 ;Model_21099 ;Model_2111 ;Model_2112 ;Model_2113 ;Model_2115 ;Model_Granta ;Model_Kalina ;Model_Largus ;Model_Priora ;Model_Vesta ;Model_XRAY ;Drive_full;Drive_rear;Fuel_AI-95;Fuel_GAZ
0;713900;5;4;0;0;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;553000;5;4;77000;3;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;178;5;14.1;1670;10.5;6.6;0;5;480;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
2;498000;5;4;89000;3;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
3;842900;5;4;0;0;1598;1764;78;113;4410;2635;1497;152;4;55;1510;1510;1230;178;175;5.655326005;11.3;1670;10.7;7.1;0;5;480;9.2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
4;494750;5;4;51000;5;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
5;479000;5;4;111000;4;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;178;5;14.1;1670;10.5;6.6;0;5;480;9;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6;613900;5;4;0;0;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
7;769900;5;4;0;0;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8;585000;5;4;50000;1;1596;1764;82;106;4410;2635;1497;135;4;55;1510;1510;1380;178;170;5;12.9;1670;10.5;6.3;0;5;480;8.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
9;708900;5;4;0;0;1598;1764;78;113;4410;2635;1497;152;4;55;1510;1510;1230;178;175;5.655326005;11.3;1670;10.7;7.1;0;5;480;9.2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
10;490000;5;4;149570;4;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
11;880900;5;4;0;0;1598;1764;78;113;4410;2635;1497;152;4;55;1510;1510;1230;178;175;5.655326005;11.3;1670;10.7;7.1;0;5;480;9.2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
12;750000;5;4;19000;1;1774;1764;82;122;4410;2635;1497;170;4;55;1510;1510;1230;178;188;5;10.2;1670;10.5;7.8;0;5;480;10.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
13;747900;5;4;0;0;1596;1764;82;106;4410;2635;1497;148;4;55;1510;1510;1230;178;175;5;11.2;1670;10.5;6.9;0;5;480;9.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
14;509000;5;4;52118;3;1774;1764;82;122;4410;2635;1497;170;4;55;1510;1510;1230;178;186;5;12.1;1670;10.5;7.2;0;5;480;9.3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
